id,name,sku,category_id,price,cost,description,stock_quantity,is_active
1,Smartphone X1,PHONE001,1,699.99,400.00,High quality smartphone x1,50,1
2,Wireless Headphones,AUDIO001,1,159.99,80.00,High quality wireless headphones,100,1
3,Laptop Pro,COMP001,1,1299.99,800.00,High quality laptop pro,25,1
4,Tablet Ultra,TAB001,1,499.99,250.00,High quality tablet ultra,40,1
5,Smart Watch,WATCH001,1,299.99,150.00,High quality smart watch,75,1
6,Cotton T-Shirt,CLOTH001,2,24.99,12.00,High quality cotton t-shirt,200,1
7,Jeans Classic,CLOTH002,2,59.99,30.00,High quality jeans classic,150,1
8,Sneakers Pro,SHOE001,2,89.99,45.00,High quality sneakers pro,120,1
9,Winter Jacket,JACKET001,2,129.99,65.00,High quality winter jacket,80,1
10,Summer Dress,DRESS001,2,79.99,40.00,High quality summer dress,90,1
11,Programming Guide,BOOK001,3,39.99,15.00,High quality programming guide,75,1
12,Science Textbook,BOOK002,3,89.99,35.00,High quality science textbook,45,1
13,Fiction Novel,BOOK003,3,19.99,8.00,High quality fiction novel,150,1
14,History Book,BOOK004,3,49.99,20.00,High quality history book,60,1
15,Cookbook,BOOK005,3,29.99,12.00,High quality cookbook,85,1
16,Garden Hose,GARDEN001,4,29.99,15.00,High quality garden hose,40,1
17,Plant Pot,POT001,4,19.99,8.00,High quality plant pot,100,1
18,Garden Tools Set,TOOLS001,4,79.99,40.00,High quality garden tools set,35,1
19,Coffee Maker,HOME001,4,79.99,40.00,High quality coffee maker,60,1
20,Vacuum Cleaner,VACUUM001,4,199.99,100.00,High quality vacuum cleaner,25,1
21,Tennis Racket,SPORT001,5,89.99,45.00,High quality tennis racket,30,1
22,Running Shoes,SPORT002,5,119.99,60.00,High quality running shoes,80,1
23,Basketball,BALL001,5,39.99,20.00,High quality basketball,50,1
24,Yoga Mat,YOGA001,5,49.99,25.00,High quality yoga mat,70,1
25,Dumbbells Set,WEIGHT001,5,159.99,80.00,High quality dumbbells set,20,1